OTH	11	11	11

PER	2	2	2

PER	6	7	6, 7
PER	13	14	13, 14
ORG	20	20	20

PER	4	4	4

OTH	2	5	2, 3, 4, 5
PER	19	20	19, 20
ORG	26	26	26

PER	13	13	13

NONE	999	999	999

PER	4	5	4, 5
LOC	11	11	11

NONE	999	999	999

PER	4	4	4
LOC	6	6	6
LOC	15	15	15
LOC	26	26	26

PER	6	7	6, 7
LOC	12	12	12

NONE	999	999	999

NONE	999	999	999

ORG	1	1	1
PER	2	3	2, 3

NONE	999	999	999

LOC	5	5	5
ORG	8	8	8

NONE	999	999	999

LOC	28	30	28, 29, 30

NONE	999	999	999

PER	3	4	3, 4
LOC	6	6	6
PER	8	8	8
LOC	16	16	16

NONE	999	999	999

ORG	2	3	2, 3
PER	11	12	11, 12
LOC	27	27	27

NONE	999	999	999

NONE	999	999	999

OTH	5	6	5, 6
LOC	13	13	13
PER	19	20	19, 20
PER	22	22	22

NONE	999	999	999

OTH	2	5	2, 3, 4, 5

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

LOC	19	19	19

LOC	4	4	4
PER	6	8	6, 7, 8
PER	23	24	23, 24

ORG	14	15	14, 15

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

PER	1	1	1

LOC	9	9	9
LOC	14	14	14

PER	8	8	8

PER	22	22	22

ORG	1	3	1, 2, 3
LOC	5	5	5
LOC	7	7	7
OTH	15	17	15, 16, 17

ORG	8	8	8

PER	21	21	21

ORG	2	4	2, 3, 4
ORG	10	11	10, 11
ORG	13	14	13, 14

OTH	19	19	19

NONE	999	999	999

OTH	7	8	7, 8
PER	14	14	14
LOC	16	16	16

LOC	8	8	8

ORG	7	7	7

ORG	8	8	8
LOC	10	10	10

LOC	18	18	18
LOC	21	21	21
LOC	23	23	23

NONE	999	999	999

PER	2	2	2

NONE	999	999	999

NONE	999	999	999

LOC	6	6	6

LOC	7	7	7
LOC	9	9	9

ORG	6	7	6, 7

LOC	4	4	4
LOC	8	8	8
LOC	10	10	10

LOC	22	25	22, 23, 24, 25

NONE	999	999	999

LOC	7	7	7
PER	12	13	12, 13
ORG	15	15	15
PER	18	19	18, 19
LOC	21	21	21

NONE	999	999	999

PER	1	1	1

NONE	999	999	999

ORG	5	5	5
PER	13	13	13
ORG	16	18	16, 17, 18

ORG	4	4	4

NONE	999	999	999

PER	3	3	3

ORG	13	15	13, 14, 15
ORG	24	24	24

NONE	999	999	999

PER	9	9	9
LOC	11	11	11
PER	19	19	19

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

LOC	1	1	1

NONE	999	999	999

LOC	11	11	11
ORG	14	16	14, 15, 16

NONE	999	999	999

NONE	999	999	999

OTH	16	16	16

PER	3	4	3, 4
ORG	22	24	22, 23, 24
ORG	27	29	27, 28, 29

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

LOC	8	8	8
PER	10	11	10, 11

NONE	999	999	999

PER	11	12	11, 12

PER	9	10	9, 10
PER	25	26	25, 26

PER	7	8	7, 8
ORG	14	14	14
ORG	25	26	25, 26

PER	13	14	13, 14

LOC	11	11	11

NONE	999	999	999

ORG	13	13	13

NONE	999	999	999

NONE	999	999	999

ORG	11	14	11, 12, 13, 14
OTH	22	22	22

NONE	999	999	999

PER	5	6	5, 6

LOC	6	6	6
PER	8	9	8, 9
PER	11	12	11, 12
PER	15	17	15, 16, 17

PER	9	9	9

NONE	999	999	999

PER	8	8	8

NONE	999	999	999

LOC	5	5	5
LOC	9	9	9
LOC	13	13	13
LOC	17	17	17
LOC	18	18	18
LOC	25	25	25
LOC	26	26	26

LOC	3	3	3

NONE	999	999	999

LOC	2	2	2
OTH	7	8	7, 8
LOC	15	15	15

PER	10	10	10

LOC	8	8	8
PER	11	12	11, 12

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

LOC	7	7	7
OTH	9	9	9

NONE	999	999	999

ORG	6	7	6, 7

NONE	999	999	999

ORG	5	5	5
PER	28	29	28, 29

ORG	5	5	5
ORG	7	7	7
ORG	9	9	9

NONE	999	999	999

PER	17	18	17, 18

ORG	11	11	11
LOC	13	13	13
ORG	15	15	15
LOC	28	28	28

PER	19	19	19

NONE	999	999	999

NONE	999	999	999

PER	5	9	5, 6, 7, 8, 9

PER	2	2	2
ORG	16	16	16

NONE	999	999	999

PER	4	4	4
PER	6	7	6, 7

LOC	8	8	8

OTH	14	14	14
PER	40	41	40, 41
OTH	43	46	43, 44, 45, 46

NONE	999	999	999

NONE	999	999	999

NONE	999	999	999

PER	1	1	1
PER	3	3	3
PER	13	13	13
LOC	15	15	15
PER	21	21	21
LOC	23	23	23
PER	29	30	29, 30

LOC	1	1	1
OTH	3	3	3

ORG	1	1	1

NONE	999	999	999

PER	6	6	6

OTH	11	12	11, 12
OTH	19	19	19
OTH	27	28	27, 28

LOC	5	5	5
LOC	7	7	7

NONE	999	999	999

LOC	6	6	6

PER	1	1	1

NONE	999	999	999

ORG	10	12	10, 11, 12
ORG	14	17	14, 15, 16, 17
ORG	20	25	20, 21, 22, 23, 24, 25

NONE	999	999	999

PER	6	6	6
ORG	13	14	13, 14
ORG	25	25	25

PER	25	26	25, 26

NONE	999	999	999

